X_position	Y_position	measurement
3.000	6.000	29.574E-12
4.000	6.000	30.314E-12
5.000	6.000	30.510E-12
6.000	6.000	31.718E-12
7.000	6.000	32.986E-12
8.000	6.000	34.172E-12
9.000	6.000	35.099E-12
10.000	6.000	35.345E-12
11.000	6.000	35.629E-12
12.000	6.000	36.789E-12
13.000	6.000	35.851E-12
14.000	6.000	35.731E-12
15.000	6.000	36.886E-12
16.000	6.000	35.205E-12
17.000	6.000	23.947E-12
18.000	6.000	22.582E-12
19.000	6.000	24.495E-12
19.000	7.000	25.809E-12
18.000	7.000	26.999E-12
17.000	7.000	27.521E-12
16.000	7.000	28.392E-12
15.000	7.000	27.900E-12
14.000	7.000	18.168E-12
13.000	7.000	22.541E-12
12.000	7.000	34.625E-12
11.000	7.000	35.953E-12
10.000	7.000	33.579E-12
9.000	7.000	32.390E-12
8.000	7.000	30.821E-12
7.000	7.000	30.148E-12
6.000	7.000	30.178E-12
5.000	7.000	31.312E-12
4.000	7.000	39.796E-12
3.000	7.000	37.515E-12
3.000	8.000	37.430E-12
4.000	8.000	37.362E-12
5.000	8.000	37.436E-12
6.000	8.000	37.826E-12
7.000	8.000	38.526E-12
8.000	8.000	38.785E-12
9.000	8.000	38.469E-12
10.000	8.000	37.760E-12
11.000	8.000	37.577E-12
12.000	8.000	37.442E-12
13.000	8.000	36.804E-12
14.000	8.000	37.311E-12
15.000	8.000	37.388E-12
16.000	8.000	36.931E-12
17.000	8.000	36.876E-12
18.000	8.000	36.795E-12
19.000	8.000	37.456E-12
19.000	9.000	40.232E-12
18.000	9.000	40.369E-12
17.000	9.000	39.958E-12
16.000	9.000	39.694E-12
15.000	9.000	39.232E-12
14.000	9.000	39.471E-12
13.000	9.000	40.729E-12
12.000	9.000	40.019E-12
11.000	9.000	40.421E-12
10.000	9.000	49.079E-12
9.000	9.000	51.528E-12
8.000	9.000	41.495E-12
7.000	9.000	35.070E-12
6.000	9.000	36.849E-12
5.000	9.000	30.923E-12
4.000	9.000	22.409E-12
3.000	9.000	14.287E-12
3.000	10.000	13.959E-12
4.000	10.000	12.329E-12
5.000	10.000	2.259E-12
6.000	10.000	-3.327E-12
7.000	10.000	6.818E-12
8.000	10.000	14.110E-12
9.000	10.000	11.457E-12
10.000	10.000	15.861E-12
11.000	10.000	22.302E-12
12.000	10.000	28.438E-12
13.000	10.000	29.342E-12
14.000	10.000	29.566E-12
15.000	10.000	29.303E-12
16.000	10.000	28.641E-12
17.000	10.000	27.165E-12
18.000	10.000	25.609E-12
19.000	10.000	25.508E-12
19.000	11.000	26.079E-12
18.000	11.000	26.873E-12
17.000	11.000	26.710E-12
16.000	11.000	24.339E-12
15.000	11.000	29.840E-12
14.000	11.000	75.032E-12
13.000	11.000	59.863E-12
12.000	11.000	61.219E-12
11.000	11.000	62.761E-12
10.000	11.000	63.654E-12
9.000	11.000	64.572E-12
8.000	11.000	65.737E-12
7.000	11.000	67.631E-12
6.000	11.000	71.285E-12
5.000	11.000	67.324E-12
4.000	11.000	24.022E-12
3.000	11.000	41.125E-12
3.000	12.000	41.756E-12
4.000	12.000	41.490E-12
