CysZ_X336 image No.		radius in pixel
25	180	90
100	190	95
125	199	99.5
106	200	100
135	200	100
27	200	100
138	207	103.5
109	213	106.5
133	220	110
126	232	116
131	236.5417511	118.2708755
14	249.0622412	124.5311206
127	249.5756398	124.7878199
116	253.3929754	126.6964877
57	254.2439773	127.1219887
94	259.5380512	129.7690256
104	260.2767758	130.1383879
91	260.4611295	130.2305648
123	264.5146499	132.2573249
132	269.4290259	134.714513
136	269.9036865	134.9518433
98	271.764604	135.882302
130	274.3720102	137.1860051
39	277.8488798	138.9244399
63	278.5390457	139.2695229
95	281.3965174	140.6982587
121	281.7374664	140.8687332
66	283.351372	141.675686
85	285.3769437	142.6884719
90	289.6066298	144.8033149
120	289.7723244	144.8861622
122	292	146
82	292.3285822	146.1642911
118	293.3939331	146.6969666
16	293.9931972	146.9965986
128	294.401087	147.2005435
18	294.9440625	147.4720312
4	295.0525377	147.5262688
88	295.2964612	147.6482306
119	295.9189078	147.9594539
99	296.9713791	148.4856895
64	297.1060417	148.5530208
134	299.2524018	149.6262009
6	300.6659276	150.3329638
93	302.654919	151.3274595
92	306.2025473	153.1012737
15	307.6881538	153.8440769
75	309.9677403	154.9838701
70	312.409987	156.2049935
87	312.409987	156.2049935
115	312.6403685	156.3201842
105	317.2380809	158.6190405
89	320.2499024	160.1249512
78	320.3248351	160.1624176
26	320.9236669	160.4618335
111	326.4597984	163.2298992
83	328.5361472	164.2680736
137	330.7204257	165.3602129
101	333.9461034	166.9730517
102	339.0811112	169.5405556
117	339.5997644	169.7998822
124	340	170
97	341.7601498	170.8800749
86	344	172
79	347.0792417	173.5396208
10	348.0229877	174.0114939
96	348.0919419	174.0459709
30	348.4594668	174.2297334
71	352.3634487	176.1817244
35	356	178
81	356.1797299	178.089865
41	359.2213802	179.6106901
77	359.2213802	179.6106901
9	359.4885255	179.7442628
68	360.3553801	180.1776901
73	361.9060652	180.9530326
108	363.2079294	181.6039647
113	364.1977485	182.0988742
58	364.9438313	182.4719156
5	364.9657518	182.4828759
112	366.1912069	183.0956034
20	366.7151483	183.3575742
13	367.151195	183.5755975
33	373.7378761	186.868938
11	377.3592453	188.6796226
12	378.5657142	189.2828571
65	379.5787138	189.7893569
84	380.1894265	190.0947132
70	381.37	190.685
72	385.0402576	192.5201288
107	390.5483325	195.2741662
34	393.0801445	196.5400722
69	393.6292672	196.8146336
60	394.0355314	197.0177657
48	400	200
21	408.4311447	204.2155724
46	412.1747202	206.0873601
22	413.1053134	206.5526567
8	416.9412429	208.4706214
67	421.672859	210.8364295
44	433.0357953	216.5178976
23	440.8718635	220.4359317
40	451.4864339	225.743217
62	452	226
37	457.5587394	228.7793697
7	482.0290448	241.0145224
28	497.9317222	248.9658611
61	512.3904761	256.1952381
17	515.5501915	257.7750958
47	522.7925019	261.3962509
